trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240101,7360,6145,6874
20240101,7361,102,123
20240101,7362,325,326
20240101,7380,550,617
20240101,7390,414,468
20240102,900,9172,8784
20240102,910,1557,1633
20240102,920,2718,2463
20240102,930,6866,6779
20240102,940,2917,2959
20240102,950,2670,2149
20240102,960,11772,12507
20240102,970,13824,14139
20240102,980,15883,16399
20240102,990,19833,20275
20240102,1000,61789,64232
20240102,1010,5289,5269
20240102,1020,23852,24700
20240102,1030,3725,3775
20240102,1040,14659,14863
20240102,1050,1443,1413
20240102,1060,1779,1768
20240102,1070,9124,9292
20240102,1080,27189,28245
20240102,1090,10323,10257
20240102,1100,23022,24894
20240102,1110,6423,6164
20240102,1120,5346,4958
20240102,1130,1787,1747
20240102,1140,358,347
20240102,1150,1030,1035
20240102,1160,3632,3558
20240102,1170,5522,5816
20240102,1180,6136,5930
20240102,1190,2999,3087
20240102,1191,251,314
20240102,1192,2003,2354
20240102,1193,706,874
20240102,1194,3773,3383
20240102,1201,75,78
20240102,1202,228,160
20240102,1203,468,461
20240102,1204,67,61
20240102,1205,43,41
20240102,1206,28,29
20240102,1207,1,74
20240102,1208,203,203
20240102,1210,18723,19541
20240102,1220,1585,1470
20240102,1230,664,629
20240102,1240,328,316
20240102,1250,9014,8814
20240102,2110,42,39
20240102,2120,87,98
20240102,2130,1233,1286
20240102,2140,27,29
20240102,2150,488,451
20240102,2160,52,53
20240102,2170,745,652
20240102,2180,1629,1418
20240102,2190,275,275
20240102,2200,2355,2027
20240102,2210,81,69
20240102,2220,1373,1120
20240102,2230,2520,2447
20240102,2240,454,390
20240102,2250,705,643
20240102,2260,1113,234
20240102,3140,380,337
20240102,3150,883,914
20240102,3160,5795,5961
20240102,3170,136,132
20240102,3180,880,836
20240102,3190,704,610
20240102,3210,572,490
20240102,3220,2269,2276
20240102,3230,7336,6698
20240102,3240,1014,903
20240102,3250,2266,2258
20240102,3260,727,683
20240102,3270,2561,2457
20240102,3280,2147,2057
20240102,3290,1346,1322
20240102,3300,21815,22597
20240102,3310,1785,1828
20240102,3320,3333,3282
20240102,3330,596,551
20240102,3340,6613,7234
20240102,3350,633,1506
20240102,3360,12228,11460
20240102,3370,1138,1032
20240102,3380,790,763
20240102,3390,7523,6702
20240102,3400,535,488
20240102,3410,1140,1044
20240102,3420,2437,2095
20240102,3430,1009,918
20240102,3431,11,11
20240102,3432,68,75
20240102,3433,14,22
20240102,3434,205,117
20240102,3435,81,95
20240102,3436,54,87
20240102,3450,728,636
20240102,3460,169,157
20240102,3470,5219,5434
20240102,3480,1925,1805
20240102,3490,129,111
20240102,4050,1515,1734
20240102,4060,1492,2117
20240102,4070,796,800
20240102,4080,9066,8459
